userId,postId,imagePath,text,timestamp,imageEmbedding
1,B01_01,images/user_01/2008_001227.jpg,Two gentleman talking in front of propeller plane. Two men are conversing next to a small airplane. Two men talking in front of a plane Two men talking in front of a small plane. Two men talk while standing next to a small passenger plane at an airport.,,
2,B02_01,images/user_02/2008_000725.jpg,A cyclist relaxes on a bench and gazes toward the ocean. Man sits on bench and looks toward ocean with a bike at his side. Person sitting on a bench taking a break from bike riding. Someone sitting on a bench next to a bike looking out over the sea. Woman sitting next to bicycle on a snowy bench facing the ocean.,,
3,B03_01,images/user_03/2008_001020.jpg,A white bird is steering a shopping cart. A white bird pushes a miniature teal shopping cart. A white bird pushing a miniature blue shopping cart. A white parrot walking a small blue shopping cart. Parrot pushing a small shopping cart.,,
4,B04_01,images/user_04/2008_000405.jpg,"A group of river barges with trees in the background. A pier with the word ""Buchanan"" on it in the middle of the water. Barge floating through the water. Empty barge floating down a river. The Buchanan barge floats down the lake.",,
5,B05_01,images/user_05/2008_000202.jpg,"A 4-H booth with posters, television, and three people presenting near a laptop. A presenting being interviewed People pose with a microphone in front of a display. The people are in front of the 4-H display. Vendors work their booth at the trade show.",,
6,B06_01,images/user_06/2008_000075.jpg,"A large white ""Victory Liner"" bus with red and yellow trim is in a parking lot. A side view of a passenger bus. A Victory Liner bus is white with red and gold stripes. A white tour bus with red, orange and yellow stripes. The bus has a red, orange and yellow design on it.",,
7,B07_01,images/user_07/2008_000163.jpg,A white limo is parked on the side of a street. A white limousine decorated for a wedding. A white limo with tinted windows is parked. A white luxury car with a window insignia parked on a street. Long white car parked on the street.,,
8,B08_01,images/user_08/2008_000182.jpg,A car sits by a window with a curtain pulled most of the way across. A cat is on the sill of a window with yellow.curtains A cat with a striped tail crouches on the windowsill. Cat sitting on windowsill. The cat is standing on the window sill looking at the camera.,,
9,B09_01,images/user_09/2008_000976.jpg,A group of women posing for a picture. Three Indian girls dressed up for a gathering. Three women in Indian dresses in a crowded room smiling. Three women with brown hair are smiling Three young ladies from India in a restaurant.,,
10,B10_01,images/user_10/2008_000711.jpg,The large cows hover over the young calf. Three adult cows and one baby cow stand on the grass. Three brown cows and a small calf in a field. Three cows in a green pasture surrounding a baby cow. Three large brown cows stand aver a calf in the pasture.,,
