userId,postId,imagePath,text,timestamp,imageEmbedding
1,A01_01,images/user_01/2008_000716.jpg,One jet lands at an airport while another takes off next to it. Two airplanes parked in an airport. Two jets taxi past each other. Two parked jet airplanes facing opposite directions. two passenger planes on a grassy plain,,
2,A02_01,images/user_02/2008_000090.jpg,A child standing on a dusty street looks at adults with large metal containers. Appears to be a dairy somewhere in a developing country. A small child in a street surrounded by people and large metal urns. A young boy is standing in the street near milk jugs and men in an impoverished country. Small child looking at adults in rundown area.,,
3,A03_01,images/user_03/2008_000095.jpg,A large bird wades in the water while the turtles climb the log. A stork stands on a fallen tree over a pond while three turtles climb out of the water. The long necked bird is perched on a branch with three turtles. Three turtles and an egret are standing on a log in a pond. Three turtles climbing up a log that a bird is sitting on.,,
4,A04_01,images/user_04/2008_000195.jpg,"A family getting ready to go canoe on a small lake. Three people are by the water with yellow canoes Three people preparing to canoe. Two people are carrying a yellow canoe down to the water, while a man in red and black walks away from a canoe already near the water. Two people carrying a canoe into a river while a third person walks out of the picture.",,
5,A05_01,images/user_05/2008_000112.jpg,A small white cat sitting in a sink. A small white cat standing in a sink. A white and grey cat in a bathroom sink looking at the camera. Grey and white cat sitting in bathroom sink. White cat sitting inside of a sink.,,
6,A06_01,images/user_06/2008_000032.jpg,A city bus driving past a building. A red bus picks up new passengers A red trolley bus passing by on the opposite side of a city street. Red bus in front of building. The bus makes the rounds in the quaint town.,,
7,A07_01,images/user_07/2008_000085.jpg,A black car with damage in the back. A black SUV which has been in an rear end collision. Black SUV smashed from behind. The back of the black SUV is crumpled and the rear window is broken. The back of the black SUV is wrecked.,,
8,A08_01,images/user_08/2008_000116.jpg,A black and grey striped cay lying on a comforter looking toward the camera. A cat curled up on a comforter. A tabby cat laying on a bed. Gray domestic cat lying down on comforter. The cat is laying on an animal print blanket.,,
9,A09_01,images/user_09/2008_000904.jpg,"A happy mother dotes on her children. A mom with two children on her lap, a girl looking to the right and a boy looking at the camera. A woman holding two toddlers -: a girl and a boy. A woman with a two children in her lap Mom holding two kids",,
10,A10_01,images/user_10/2008_000335.jpg,Black and white cows behind a fence. Black and white cows grazing in a pen. The black and white cows pause in front of the gate. Two black and white cows behind a metal gate against a partly cloudy blue sky. Two cows in a field grazing near a gate.,,
