userId,className,platform,postId,imagePath,captionCount
1,aeroplane,A,A01_01,images/user_01/2008_000716.jpg,5
1,aeroplane,B,B01_01,images/user_01/2008_001227.jpg,5
2,bicycle,A,A02_01,images/user_02/2008_000090.jpg,5
2,bicycle,B,B02_01,images/user_02/2008_000725.jpg,5
3,bird,A,A03_01,images/user_03/2008_000095.jpg,5
3,bird,B,B03_01,images/user_03/2008_001020.jpg,5
4,boat,A,A04_01,images/user_04/2008_000195.jpg,5
4,boat,B,B04_01,images/user_04/2008_000405.jpg,5
5,bottle,A,A05_01,images/user_05/2008_000112.jpg,5
5,bottle,B,B05_01,images/user_05/2008_000202.jpg,5
6,bus,A,A06_01,images/user_06/2008_000032.jpg,5
6,bus,B,B06_01,images/user_06/2008_000075.jpg,5
7,car,A,A07_01,images/user_07/2008_000085.jpg,5
7,car,B,B07_01,images/user_07/2008_000163.jpg,5
8,cat,A,A08_01,images/user_08/2008_000116.jpg,5
8,cat,B,B08_01,images/user_08/2008_000182.jpg,5
9,chair,A,A09_01,images/user_09/2008_000904.jpg,5
9,chair,B,B09_01,images/user_09/2008_000976.jpg,5
10,cow,A,A10_01,images/user_10/2008_000335.jpg,5
10,cow,B,B10_01,images/user_10/2008_000711.jpg,5
