entityId,platformId,userId,username
u001,a_platform,1,a_platform_user_1
u002,a_platform,2,a_platform_user_2
u003,a_platform,3,a_platform_user_3
u004,a_platform,4,a_platform_user_4
u005,a_platform,5,a_platform_user_5
u006,a_platform,6,a_platform_user_6
u007,a_platform,7,a_platform_user_7
u008,a_platform,8,a_platform_user_8
u009,a_platform,9,a_platform_user_9
u010,a_platform,10,a_platform_user_10
u001,b_platform,1,b_platform_user_1
u002,b_platform,2,b_platform_user_2
u003,b_platform,3,b_platform_user_3
u004,b_platform,4,b_platform_user_4
u005,b_platform,5,b_platform_user_5
u006,b_platform,6,b_platform_user_6
u007,b_platform,7,b_platform_user_7
u008,b_platform,8,b_platform_user_8
u009,b_platform,9,b_platform_user_9
u010,b_platform,10,b_platform_user_10
